,City Code,year_of_crash,month_of_crash,day_of_crash,hour_of_crash,minute_of_crash,atmospheric_conditions_name,atmospheric_conditions_1_name,atmospheric_conditions_2_name,number_of_fatalities
0,1650,2015,8,9,2,41,Not Reported,Not Reported,No Additional Atmospheric Conditions,1
1,1650,2015,5,17,19,53,Clear,Clear,No Additional Atmospheric Conditions,2
2,1650,2015,1,1,18,7,Clear,Clear,No Additional Atmospheric Conditions,1
3,1650,2015,7,4,21,56,Clear,Clear,No Additional Atmospheric Conditions,1
4,1650,2015,8,10,8,57,Clear,Clear,No Additional Atmospheric Conditions,1
5,1650,2015,6,14,14,6,Clear,Clear,No Additional Atmospheric Conditions,1
6,1650,2015,8,7,13,44,Clear,Clear,No Additional Atmospheric Conditions,1
7,1650,2015,5,27,12,2,Clear,Clear,No Additional Atmospheric Conditions,1
8,1650,2015,8,14,1,56,Clear,Clear,No Additional Atmospheric Conditions,1
9,1650,2015,3,7,15,28,Clear,Clear,No Additional Atmospheric Conditions,1
10,1650,2015,8,23,20,22,Clear,Clear,No Additional Atmospheric Conditions,1
11,1650,2015,9,20,0,46,Clear,Clear,No Additional Atmospheric Conditions,1
12,1650,2015,5,20,21,13,Clear,Clear,No Additional Atmospheric Conditions,1
13,1650,2015,9,3,6,28,Clear,Clear,No Additional Atmospheric Conditions,1
14,1650,2015,7,21,15,21,Clear,Clear,No Additional Atmospheric Conditions,1
15,1650,2015,8,19,3,30,Clear,Clear,No Additional Atmospheric Conditions,1
16,1650,2015,8,26,21,47,Clear,Clear,No Additional Atmospheric Conditions,1
17,1650,2015,9,26,0,45,Clear,Clear,No Additional Atmospheric Conditions,1
18,1650,2015,4,19,2,53,Clear,Clear,No Additional Atmospheric Conditions,1
19,1650,2015,5,25,1,44,Clear,Clear,No Additional Atmospheric Conditions,1
20,1650,2015,12,13,8,47,Rain,Rain,No Additional Atmospheric Conditions,1
21,1650,2015,2,5,3,36,Rain,Rain,No Additional Atmospheric Conditions,1
22,1650,2015,12,12,20,37,Rain,Rain,Cloudy,1
23,1650,2015,12,4,6,40,Rain,Rain,No Additional Atmospheric Conditions,1
24,1650,2015,2,25,16,35,Rain,Rain,No Additional Atmospheric Conditions,1
25,1650,2015,3,11,10,2,Rain,Rain,Cloudy,1
26,1650,2015,11,17,4,8,Rain,Rain,No Additional Atmospheric Conditions,1
27,1650,2015,9,27,2,6,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
28,1650,2015,6,3,17,24,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
29,1650,2015,11,1,1,1,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
30,1650,2015,12,7,14,3,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
31,1650,2015,4,15,1,27,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
32,1650,2015,9,16,16,4,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
33,1650,2015,9,6,6,52,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
34,1650,2016,1,17,17,47,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
35,1650,2016,6,5,16,29,Clear,Clear,No Additional Atmospheric Conditions,1
36,1650,2016,4,5,4,48,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
37,1650,2016,12,27,21,55,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
38,1650,2016,3,31,10,18,Clear,Clear,No Additional Atmospheric Conditions,1
39,1650,2016,8,8,22,23,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
40,1650,2016,11,10,21,17,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
41,1650,2016,10,29,11,23,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
42,1650,2016,4,18,22,39,Clear,Clear,No Additional Atmospheric Conditions,1
43,1650,2016,7,30,8,3,Clear,Clear,No Additional Atmospheric Conditions,1
44,1650,2016,8,5,10,45,Clear,Clear,No Additional Atmospheric Conditions,1
45,1650,2016,3,28,1,25,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
46,1650,2016,7,2,23,31,Clear,Clear,No Additional Atmospheric Conditions,1
47,1650,2016,8,5,15,7,Clear,Clear,No Additional Atmospheric Conditions,1
48,1650,2016,2,18,15,19,Rain,Rain,No Additional Atmospheric Conditions,1
49,1650,2016,12,7,21,2,Clear,Clear,No Additional Atmospheric Conditions,1
50,1650,2016,11,25,17,40,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
51,1650,2016,3,18,12,38,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
52,1650,2016,3,19,23,9,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
53,1650,2016,12,7,18,55,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
54,1650,2016,9,4,21,20,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
55,1650,2016,8,19,15,54,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
56,1650,2016,8,29,20,48,Clear,Clear,No Additional Atmospheric Conditions,1
57,1650,2016,3,19,15,50,Clear,Clear,No Additional Atmospheric Conditions,1
58,1650,2016,5,30,16,1,Clear,Clear,No Additional Atmospheric Conditions,1
59,1650,2016,4,16,21,3,Clear,Clear,No Additional Atmospheric Conditions,1
60,1650,2016,2,4,18,21,Clear,Clear,No Additional Atmospheric Conditions,1
61,1650,2016,7,9,9,34,Clear,Clear,No Additional Atmospheric Conditions,1
62,1650,2016,12,24,14,14,Not Reported,Not Reported,No Additional Atmospheric Conditions,1
63,1650,2016,4,24,3,51,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
64,1650,2016,2,13,5,31,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
65,1650,2016,4,22,2,38,Rain,Rain,No Additional Atmospheric Conditions,1
66,1650,2016,3,6,19,51,Rain,Rain,No Additional Atmospheric Conditions,1
67,1650,2016,11,30,5,20,Rain,Rain,No Additional Atmospheric Conditions,1
68,1650,2016,10,13,21,0,Rain,Cloudy,Rain,1
69,1650,2016,1,12,7,38,Rain,Rain,No Additional Atmospheric Conditions,1
70,1650,2016,1,24,23,4,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
71,1650,2016,12,10,2,27,Snow,Snow,No Additional Atmospheric Conditions,1
72,1650,2016,8,12,0,45,Clear,Clear,No Additional Atmospheric Conditions,1
73,1650,2016,5,12,7,49,Clear,Clear,No Additional Atmospheric Conditions,1
74,1650,2016,12,25,1,52,"Fog, Smog, Smoke","Fog, Smog, Smoke",No Additional Atmospheric Conditions,1
75,1650,2016,10,17,0,35,Rain,Cloudy,Rain,1
76,370,2015,3,14,20,18,Not Reported,Not Reported,No Additional Atmospheric Conditions,1
77,370,2015,5,1,7,11,Clear,Clear,No Additional Atmospheric Conditions,1
78,370,2015,8,1,2,39,Clear,Clear,No Additional Atmospheric Conditions,1
79,370,2015,10,22,9,13,Clear,Clear,No Additional Atmospheric Conditions,1
80,370,2015,10,8,9,48,Clear,Clear,No Additional Atmospheric Conditions,1
81,370,2015,6,21,1,35,Clear,Clear,No Additional Atmospheric Conditions,1
82,370,2015,4,1,19,20,Clear,Clear,No Additional Atmospheric Conditions,1
83,370,2015,4,25,1,5,Clear,Clear,No Additional Atmospheric Conditions,1
84,370,2015,2,28,1,22,Clear,Clear,No Additional Atmospheric Conditions,1
85,370,2015,9,26,21,34,Clear,Clear,No Additional Atmospheric Conditions,1
86,370,2015,2,6,20,10,Clear,Clear,No Additional Atmospheric Conditions,1
87,370,2015,1,26,0,10,Clear,Clear,No Additional Atmospheric Conditions,1
88,370,2015,8,7,22,1,Clear,Clear,No Additional Atmospheric Conditions,2
89,370,2015,6,16,20,28,Clear,Clear,No Additional Atmospheric Conditions,1
90,370,2015,6,4,1,52,Clear,Clear,No Additional Atmospheric Conditions,1
91,370,2015,11,28,20,28,Clear,Clear,No Additional Atmospheric Conditions,1
92,370,2015,8,3,22,4,Clear,Clear,No Additional Atmospheric Conditions,1
93,370,2015,5,17,20,50,Clear,Clear,No Additional Atmospheric Conditions,1
94,370,2015,7,20,23,56,Clear,Clear,No Additional Atmospheric Conditions,1
95,370,2015,4,16,19,56,Clear,Clear,No Additional Atmospheric Conditions,1
96,370,2015,5,14,20,15,Clear,Clear,No Additional Atmospheric Conditions,2
97,370,2015,10,18,18,20,Clear,Clear,No Additional Atmospheric Conditions,1
98,370,2015,11,20,5,22,Clear,Clear,No Additional Atmospheric Conditions,1
99,370,2015,9,15,14,51,Clear,Clear,No Additional Atmospheric Conditions,1
100,370,2015,11,9,21,2,Clear,Clear,No Additional Atmospheric Conditions,1
101,370,2015,5,7,22,15,Clear,Clear,No Additional Atmospheric Conditions,1
102,370,2015,6,7,20,39,Clear,Clear,No Additional Atmospheric Conditions,1
103,370,2015,6,24,6,47,Clear,Clear,No Additional Atmospheric Conditions,1
104,370,2015,1,9,18,27,Clear,Clear,No Additional Atmospheric Conditions,1
105,370,2015,9,19,18,25,Clear,Clear,No Additional Atmospheric Conditions,1
106,370,2015,7,8,18,29,Clear,Clear,No Additional Atmospheric Conditions,1
107,370,2015,6,27,20,15,Clear,Clear,No Additional Atmospheric Conditions,1
108,370,2015,5,1,20,8,Clear,Clear,No Additional Atmospheric Conditions,1
109,370,2015,11,6,18,26,Clear,Clear,No Additional Atmospheric Conditions,1
110,370,2015,6,4,1,53,Clear,Clear,No Additional Atmospheric Conditions,1
111,370,2015,12,13,18,52,Clear,Clear,No Additional Atmospheric Conditions,1
112,370,2015,10,30,22,22,Clear,Clear,No Additional Atmospheric Conditions,1
113,370,2015,6,20,20,46,Clear,Clear,No Additional Atmospheric Conditions,1
114,370,2015,7,5,3,48,Clear,Clear,No Additional Atmospheric Conditions,1
115,370,2015,2,28,18,29,Clear,Clear,No Additional Atmospheric Conditions,1
116,370,2015,9,28,22,14,Clear,Clear,No Additional Atmospheric Conditions,1
117,370,2015,11,24,5,46,Clear,Clear,No Additional Atmospheric Conditions,1
118,370,2015,3,31,13,41,Clear,Clear,No Additional Atmospheric Conditions,1
119,370,2015,9,16,11,44,Clear,Clear,No Additional Atmospheric Conditions,1
120,370,2015,6,25,22,16,Clear,Clear,No Additional Atmospheric Conditions,1
121,370,2015,3,4,18,18,Clear,Clear,No Additional Atmospheric Conditions,1
122,370,2015,6,18,14,48,Clear,Clear,No Additional Atmospheric Conditions,1
123,370,2015,6,28,11,14,Clear,Clear,No Additional Atmospheric Conditions,2
124,370,2015,11,28,21,22,Clear,Clear,No Additional Atmospheric Conditions,2
125,370,2015,1,25,1,2,Clear,Clear,No Additional Atmospheric Conditions,1
126,370,2015,6,19,15,59,Clear,Clear,No Additional Atmospheric Conditions,1
127,370,2015,2,5,8,19,Clear,Clear,No Additional Atmospheric Conditions,2
128,370,2015,8,17,9,57,Clear,Clear,No Additional Atmospheric Conditions,1
129,370,2015,11,11,11,25,Clear,Clear,No Additional Atmospheric Conditions,1
130,370,2015,12,15,12,35,Clear,Clear,No Additional Atmospheric Conditions,1
131,370,2015,3,5,21,53,Clear,Clear,No Additional Atmospheric Conditions,1
132,370,2015,4,30,18,22,Clear,Clear,No Additional Atmospheric Conditions,1
133,370,2015,11,14,23,34,Clear,Clear,No Additional Atmospheric Conditions,1
134,370,2015,10,31,3,8,Clear,Clear,No Additional Atmospheric Conditions,1
135,370,2015,10,30,19,3,Clear,Clear,No Additional Atmospheric Conditions,1
136,370,2015,1,8,20,2,Clear,Clear,No Additional Atmospheric Conditions,1
137,370,2015,3,14,17,50,Clear,Clear,No Additional Atmospheric Conditions,1
138,370,2015,8,5,15,24,Clear,Clear,No Additional Atmospheric Conditions,1
139,370,2015,11,8,3,55,Clear,Clear,No Additional Atmospheric Conditions,1
140,370,2015,6,27,22,57,Clear,Clear,No Additional Atmospheric Conditions,1
141,370,2015,12,30,20,27,Clear,Clear,No Additional Atmospheric Conditions,1
142,370,2015,10,23,16,4,Clear,Clear,No Additional Atmospheric Conditions,1
143,370,2015,5,13,7,14,Clear,Clear,No Additional Atmospheric Conditions,1
144,370,2015,9,16,21,39,Clear,Clear,No Additional Atmospheric Conditions,1
145,370,2015,10,1,14,1,Clear,Clear,No Additional Atmospheric Conditions,1
146,370,2015,11,22,12,12,Clear,Clear,No Additional Atmospheric Conditions,1
147,370,2015,9,5,10,48,Clear,Clear,No Additional Atmospheric Conditions,1
148,370,2015,7,12,20,22,Clear,Clear,No Additional Atmospheric Conditions,1
149,370,2015,6,4,19,9,Clear,Clear,No Additional Atmospheric Conditions,1
150,370,2015,5,2,19,34,Clear,Clear,No Additional Atmospheric Conditions,1
151,370,2015,5,29,16,25,Clear,Clear,No Additional Atmospheric Conditions,1
152,370,2015,10,26,18,27,Clear,Clear,No Additional Atmospheric Conditions,1
153,370,2015,4,19,6,7,Clear,Clear,No Additional Atmospheric Conditions,1
154,370,2015,12,13,6,57,Clear,Clear,No Additional Atmospheric Conditions,2
155,370,2015,4,24,15,21,Clear,Clear,No Additional Atmospheric Conditions,1
156,370,2015,2,15,20,46,Clear,Clear,No Additional Atmospheric Conditions,1
157,370,2015,8,15,4,59,Clear,Clear,No Additional Atmospheric Conditions,1
158,370,2015,8,6,5,20,Clear,Clear,No Additional Atmospheric Conditions,1
159,370,2015,3,20,17,53,Clear,Clear,No Additional Atmospheric Conditions,1
160,370,2015,1,14,15,59,Clear,Clear,No Additional Atmospheric Conditions,1
161,370,2015,8,8,8,50,Clear,Clear,No Additional Atmospheric Conditions,1
162,370,2015,8,18,20,17,Clear,Clear,No Additional Atmospheric Conditions,1
163,370,2015,11,8,22,12,Clear,Clear,No Additional Atmospheric Conditions,1
164,370,2015,1,26,16,35,Clear,Clear,No Additional Atmospheric Conditions,1
165,370,2015,1,11,0,12,Clear,Clear,No Additional Atmospheric Conditions,1
166,370,2015,8,22,1,52,Clear,Clear,No Additional Atmospheric Conditions,1
167,370,2015,12,30,19,53,Clear,Clear,No Additional Atmospheric Conditions,1
168,370,2015,2,8,12,11,Clear,Clear,No Additional Atmospheric Conditions,1
169,370,2015,12,26,2,6,Clear,Clear,No Additional Atmospheric Conditions,3
170,370,2015,7,25,11,26,Clear,Clear,No Additional Atmospheric Conditions,1
171,370,2015,6,1,16,58,Clear,Clear,No Additional Atmospheric Conditions,1
172,370,2015,1,24,19,3,Clear,Clear,No Additional Atmospheric Conditions,1
173,370,2015,9,27,16,34,Clear,Clear,No Additional Atmospheric Conditions,1
174,370,2015,5,13,13,14,Clear,Clear,No Additional Atmospheric Conditions,1
175,370,2015,5,9,11,1,Clear,Clear,No Additional Atmospheric Conditions,1
176,370,2015,4,24,16,18,Clear,Clear,No Additional Atmospheric Conditions,1
177,370,2015,7,7,7,39,Clear,Clear,No Additional Atmospheric Conditions,1
178,370,2015,2,27,7,10,Clear,Clear,No Additional Atmospheric Conditions,1
179,370,2015,3,15,17,26,Clear,Clear,No Additional Atmospheric Conditions,1
180,370,2015,4,25,7,48,Clear,Clear,No Additional Atmospheric Conditions,1
181,370,2015,3,16,13,20,Clear,Clear,No Additional Atmospheric Conditions,1
182,370,2015,6,12,22,27,Clear,Clear,No Additional Atmospheric Conditions,1
183,370,2015,3,16,6,49,Clear,Clear,No Additional Atmospheric Conditions,1
184,370,2015,2,7,18,24,Clear,Clear,No Additional Atmospheric Conditions,1
185,370,2015,9,9,20,47,Clear,Clear,No Additional Atmospheric Conditions,1
186,370,2015,7,27,6,7,Clear,Clear,No Additional Atmospheric Conditions,2
187,370,2015,12,18,11,32,Clear,Clear,No Additional Atmospheric Conditions,1
188,370,2015,9,6,10,4,Clear,Clear,No Additional Atmospheric Conditions,1
189,370,2015,2,15,1,26,Clear,Clear,No Additional Atmospheric Conditions,1
190,370,2015,9,27,1,23,Clear,Clear,No Additional Atmospheric Conditions,1
191,370,2015,10,18,13,28,Clear,Clear,No Additional Atmospheric Conditions,1
192,370,2015,5,29,21,3,Clear,Clear,No Additional Atmospheric Conditions,1
193,370,2015,11,25,15,31,Clear,Clear,No Additional Atmospheric Conditions,1
194,370,2015,1,17,2,27,Clear,Clear,No Additional Atmospheric Conditions,1
195,370,2015,7,31,2,13,Clear,Clear,No Additional Atmospheric Conditions,1
196,370,2015,5,3,21,14,Clear,Clear,No Additional Atmospheric Conditions,2
197,370,2015,3,9,20,31,Clear,Clear,No Additional Atmospheric Conditions,1
198,370,2015,8,2,9,57,Clear,Clear,No Additional Atmospheric Conditions,1
199,370,2015,10,6,6,19,Clear,Clear,No Additional Atmospheric Conditions,1
200,370,2015,3,15,22,16,Clear,Clear,No Additional Atmospheric Conditions,3
201,370,2015,9,15,20,30,Clear,Clear,No Additional Atmospheric Conditions,1
202,370,2015,3,29,2,48,Clear,Clear,No Additional Atmospheric Conditions,1
203,370,2015,5,15,22,6,Rain,Rain,No Additional Atmospheric Conditions,1
204,370,2015,1,10,13,11,Rain,Rain,No Additional Atmospheric Conditions,1
205,370,2015,1,30,7,6,Rain,Rain,No Additional Atmospheric Conditions,1
206,370,2015,10,6,19,0,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
207,370,2015,1,31,17,7,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
208,370,2015,11,3,20,42,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
209,370,2015,1,27,1,4,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
210,370,2015,8,7,20,6,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
211,370,2015,10,19,16,27,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
212,370,2015,5,15,8,53,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
213,370,2015,4,25,15,8,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
214,370,2015,6,6,4,46,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
215,370,2015,3,18,17,11,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
216,370,2015,3,19,11,9,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
217,370,2015,10,4,7,57,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
218,370,2015,2,23,10,26,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
219,370,2015,3,2,17,12,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
220,370,2015,2,20,16,1,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
221,370,2015,7,26,15,17,Cloudy,Cloudy,No Additional Atmospheric Conditions,3
222,370,2015,5,14,8,45,Unknown,Unknown,No Additional Atmospheric Conditions,1
223,370,2015,2,20,1,22,Unknown,Unknown,No Additional Atmospheric Conditions,1
224,370,2015,7,30,23,30,Unknown,Unknown,No Additional Atmospheric Conditions,1
225,370,2015,6,4,22,41,Unknown,Unknown,No Additional Atmospheric Conditions,1
226,370,2015,10,20,23,19,Unknown,Unknown,No Additional Atmospheric Conditions,1
227,370,2015,7,25,21,9,Unknown,Unknown,No Additional Atmospheric Conditions,1
228,370,2015,11,12,17,41,Unknown,Unknown,No Additional Atmospheric Conditions,1
229,370,2015,6,9,13,7,Unknown,Unknown,No Additional Atmospheric Conditions,1
230,370,2015,7,23,21,15,Unknown,Unknown,No Additional Atmospheric Conditions,1
231,370,2015,9,18,20,7,Unknown,Unknown,No Additional Atmospheric Conditions,1
232,370,2015,10,7,5,4,Unknown,Unknown,No Additional Atmospheric Conditions,1
233,370,2015,9,4,4,54,Unknown,Unknown,No Additional Atmospheric Conditions,1
234,370,2015,8,13,0,58,Unknown,Unknown,No Additional Atmospheric Conditions,1
235,370,2015,3,6,13,26,Unknown,Unknown,No Additional Atmospheric Conditions,1
236,370,2015,10,29,23,53,Unknown,Unknown,No Additional Atmospheric Conditions,1
237,370,2015,11,20,20,5,Unknown,Unknown,No Additional Atmospheric Conditions,1
238,370,2015,7,4,6,22,Unknown,Unknown,No Additional Atmospheric Conditions,1
239,370,2015,2,7,23,24,Unknown,Unknown,No Additional Atmospheric Conditions,1
240,370,2015,6,19,22,26,Unknown,Unknown,No Additional Atmospheric Conditions,1
241,370,2015,9,20,14,55,Unknown,Unknown,No Additional Atmospheric Conditions,1
242,370,2015,9,15,17,45,Unknown,Unknown,No Additional Atmospheric Conditions,1
243,370,2015,12,8,16,20,Unknown,Unknown,No Additional Atmospheric Conditions,1
244,370,2015,8,6,16,6,Unknown,Unknown,No Additional Atmospheric Conditions,1
245,370,2015,10,30,4,35,Unknown,Unknown,No Additional Atmospheric Conditions,1
246,370,2015,3,6,22,46,Unknown,Unknown,No Additional Atmospheric Conditions,1
247,370,2015,1,22,19,57,Unknown,Unknown,No Additional Atmospheric Conditions,1
248,370,2015,12,17,16,54,Unknown,Unknown,No Additional Atmospheric Conditions,1
249,370,2015,5,23,14,7,Unknown,Unknown,No Additional Atmospheric Conditions,1
250,370,2015,8,29,1,41,Unknown,Unknown,No Additional Atmospheric Conditions,1
251,370,2015,10,14,2,6,Unknown,Unknown,No Additional Atmospheric Conditions,1
252,370,2016,9,26,23,43,Clear,Clear,No Additional Atmospheric Conditions,1
253,370,2016,9,12,2,17,Clear,Clear,No Additional Atmospheric Conditions,1
254,370,2016,6,3,22,41,Clear,Clear,No Additional Atmospheric Conditions,1
255,370,2016,6,3,13,52,Clear,Clear,No Additional Atmospheric Conditions,1
256,370,2016,7,10,1,57,Clear,Clear,No Additional Atmospheric Conditions,1
257,370,2016,2,16,0,15,Clear,Clear,No Additional Atmospheric Conditions,1
258,370,2016,1,13,21,22,Clear,Clear,No Additional Atmospheric Conditions,5
259,370,2016,7,10,3,0,Clear,Clear,No Additional Atmospheric Conditions,1
260,370,2016,5,29,15,58,Clear,Clear,No Additional Atmospheric Conditions,1
261,370,2016,9,10,2,30,Clear,Clear,No Additional Atmospheric Conditions,1
262,370,2016,7,15,23,57,Clear,Clear,No Additional Atmospheric Conditions,1
263,370,2016,3,27,3,24,Clear,Clear,No Additional Atmospheric Conditions,1
264,370,2016,11,23,13,0,Clear,Clear,No Additional Atmospheric Conditions,1
265,370,2016,7,13,12,39,Clear,Clear,No Additional Atmospheric Conditions,1
266,370,2016,2,12,1,46,Clear,Clear,No Additional Atmospheric Conditions,1
267,370,2016,10,27,16,4,Clear,Clear,No Additional Atmospheric Conditions,1
268,370,2016,1,15,2,23,Clear,Clear,No Additional Atmospheric Conditions,1
269,370,2016,8,15,13,12,Clear,Clear,No Additional Atmospheric Conditions,1
270,370,2016,9,23,5,49,Clear,Clear,No Additional Atmospheric Conditions,1
271,370,2016,6,30,18,51,Cloudy,Cloudy,No Additional Atmospheric Conditions,1
272,370,2016,3,12,2,30,Clear,Clear,No Additional Atmospheric Conditions,1
273,370,2016,9,2,1,0,Clear,Clear,No Additional Atmospheric Conditions,1
274,370,2016,11,1,3,11,Clear,Clear,No Additional Atmospheric Conditions,2
275,370,2016,7,21,6,33,Clear,Clear,No Additional Atmospheric Conditions,1
276,370,2016,12,27,21,46,Clear,Clear,No Additional Atmospheric Conditions,1
277,370,2016,2,10,18,8,Clear,Clear,No Additional Atmospheric Conditions,1
278,370,2016,4,29,23,4,Clear,Clear,No Additional Atmospheric Conditions,1
279,370,2016,4,30,6,20,Clear,Clear,No Additional Atmospheric Conditions,2
280,370,2016,10,20,21,37,Clear,Clear,No Additional Atmospheric Conditions,1
281,370,2016,10,15,2,24,Clear,Clear,No Additional Atmospheric Conditions,1
282,370,2016,4,23,9,39,Clear,Clear,No Additional Atmospheric Conditions,1
283,370,2016,11,1,11,5,Clear,Clear,No Additional Atmospheric Conditions,1
284,370,2016,9,30,19,33,Clear,Clear,No Additional Atmospheric Conditions,1
285,370,2016,9,17,18,21,Clear,Clear,No Additional Atmospheric Conditions,1
286,370,2016,6,13,8,59,Clear,Clear,No Additional Atmospheric Conditions,1
287,370,2016,6,18,1,22,Clear,Clear,No Additional Atmospheric Conditions,1
288,370,2016,1,27,16,10,Not Reported,Not Reported,No Additional Atmospheric Conditions,1
289,370,2016,3,11,23,46,Clear,Clear,No Additional Atmospheric Conditions,1
290,370,2016,10,27,21,8,Clear,Clear,No Additional Atmospheric Conditions,1
291,370,2016,12,9,6,42,Clear,Clear,No Additional Atmospheric Conditions,1
292,370,2016,10,15,18,43,Clear,Clear,No Additional Atmospheric Conditions,1
293,370,2016,11,7,19,8,Clear,Clear,No Additional Atmospheric Conditions,1
294,370,2016,3,9,19,36,Clear,Clear,No Additional Atmospheric Conditions,1
295,370,2016,12,23,18,0,Clear,Clear,No Additional Atmospheric Conditions,1
296,370,2016,3,29,23,18,Clear,Clear,No Additional Atmospheric Conditions,1
297,370,2016,12,22,18,46,Clear,Clear,No Additional Atmospheric Conditions,1
298,370,2016,9,24,18,47,Clear,Clear,No Additional Atmospheric Conditions,1
299,370,2016,9,22,20,56,Clear,Clear,No Additional Atmospheric Conditions,1
300,370,2016,9,30,19,12,Clear,Clear,No Additional Atmospheric Conditions,1
301,370,2016,8,12,18,30,Clear,Clear,No Additional Atmospheric Conditions,1
302,370,2016,1,6,14,5,Clear,Clear,No Additional Atmospheric Conditions,1
303,370,2016,11,8,18,1,Clear,Clear,No Additional Atmospheric Conditions,1
304,370,2016,5,19,22,44,Clear,Clear,No Additional Atmospheric Conditions,1
305,370,2016,10,15,21,17,Clear,Clear,No Additional Atmospheric Conditions,1
306,370,2016,1,20,6,29,Clear,Clear,No Additional Atmospheric Conditions,1
307,370,2016,3,13,22,50,Clear,Clear,No Additional Atmospheric Conditions,1
308,370,2016,10,22,20,31,Clear,Clear,No Additional Atmospheric Conditions,1
309,370,2016,9,15,22,35,Clear,Clear,No Additional Atmospheric Conditions,1
310,370,2016,4,1,21,1,Clear,Clear,No Additional Atmospheric Conditions,1
311,370,2016,8,3,20,9,Clear,Clear,No Additional Atmospheric Conditions,1
312,370,2016,4,30,19,34,Clear,Clear,No Additional Atmospheric Conditions,1
313,370,2016,1,25,6,20,Clear,Clear,No Additional Atmospheric Conditions,1
314,370,2016,2,10,15,14,Clear,Clear,No Additional Atmospheric Conditions,1
315,370,2016,2,21,20,12,Clear,Clear,No Additional Atmospheric Conditions,1
316,370,2016,11,14,4,13,Clear,Clear,No Additional Atmospheric Conditions,1
317,370,2016,6,4,1,5,Clear,Clear,No Additional Atmospheric Conditions,1
318,370,2016,1,21,19,15,Clear,Clear,No Additional Atmospheric Conditions,1
319,370,2016,2,13,21,43,Clear,Clear,No Additional Atmospheric Conditions,1
320,370,2016,10,20,19,59,Clear,Clear,No Additional Atmospheric Conditions,1
321,370,2016,11,8,19,24,Clear,Clear,No Additional Atmospheric Conditions,1
322,370,2016,12,10,19,12,Clear,Clear,No Additional Atmospheric Conditions,1
323,370,2016,1,24,23,2,Clear,Clear,No Additional Atmospheric Conditions,1
324,370,2016,3,27,20,39,Clear,Clear,No Additional Atmospheric Conditions,1
325,370,2016,3,17,19,20,Clear,Clear,No Additional Atmospheric Conditions,1
326,370,2016,3,14,20,35,Clear,Clear,No Additional Atmospheric Conditions,1
327,370,2016,5,3,15,46,Clear,Clear,No Additional Atmospheric Conditions,1
328,370,2016,5,5,21,42,Clear,Clear,No Additional Atmospheric Conditions,1
329,370,2016,11,27,12,54,Clear,Clear,No Additional Atmospheric Conditions,1
330,370,2016,8,13,1,39,Clear,Clear,No Additional Atmospheric Conditions,1
331,370,2016,9,22,20,28,Clear,Clear,No Additional Atmospheric Conditions,1
332,370,2016,8,12,22,16,Clear,Clear,No Additional Atmospheric Conditions,1
333,370,2016,8,17,19,42,Clear,Clear,No Additional Atmospheric Conditions,1
334,370,2016,5,9,5,9,Clear,Clear,No Additional Atmospheric Conditions,1
335,370,2016,6,14,21,16,Clear,Clear,No Additional Atmospheric Conditions,1
336,370,2016,6,25,21,34,Clear,Clear,No Additional Atmospheric Conditions,1
337,370,2016,7,3,20,12,Clear,Clear,No Additional Atmospheric Conditions,1
338,370,2016,10,9,20,10,Clear,Clear,No Additional Atmospheric Conditions,1
339,370,2016,7,22,20,3,Clear,Clear,No Additional Atmospheric Conditions,1
